	Total Centros			Centros propios			Centros adscritos		
	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres
Total Universidades	1239361.0	672898.0	566463.0	1179361.0	637625.0	541736.0	60000.0	35273.0	24727.0
Universidades P�blicas Presenciales	1087816.0	588564.0	499252.0	1027816.0	553291.0	474525.0	60000.0	35273.0	24727.0
A Coru�a	18128.0	9010.0	9118.0	17209.0	8378.0	8831.0	919.0	632.0	287.0
Alcal�	15818.0	8770.0	7048.0	14811.0	7966.0	6845.0	1007.0	804.0	203.0
Alicante	26578.0	15505.0	11073.0	26486.0	15446.0	11040.0	92.0	59.0	33.0
Almer�a	11947.0	6913.0	5034.0	11390.0	6468.0	4922.0	557.0	445.0	112.0
Aut�noma de Barcelona	34335.0	20355.0	13980.0	28180.0	16627.0	11553.0	6155.0	3728.0	2427.0
Aut�noma de Madrid	24215.0	14524.0	9691.0	22279.0	12997.0	9282.0	1936.0	1527.0	409.0
Barcelona	47048.0	28858.0	18190.0	44033.0	27124.0	16909.0	3015.0	1734.0	1281.0
Burgos	8020.0	4408.0	3612.0	7554.0	4051.0	3503.0	466.0	357.0	109.0
C�diz	20159.0	10769.0	9390.0	19158.0	10047.0	9111.0	1001.0	722.0	279.0
Cantabria	10499.0	5351.0	5148.0	9709.0	4800.0	4909.0	790.0	551.0	239.0
Carlos III de Madrid	14959.0	6450.0	8509.0	14842.0	6439.0	8403.0	117.0	11.0	106.0
Castilla-La Mancha	26781.0	15004.0	11777.0	26781.0	15004.0	11777.0	.	.	.
Complutense de Madrid	68800.0	42479.0	26321.0	60140.0	37119.0	23021.0	8660.0	5360.0	3300.0
C�rdoba	17488.0	9637.0	7851.0	16186.0	8826.0	7360.0	1302.0	811.0	491.0
Extremadura	21447.0	11559.0	9888.0	21118.0	11347.0	9771.0	329.0	212.0	117.0
Girona	13639.0	7611.0	6028.0	10758.0	5994.0	4764.0	2881.0	1617.0	1264.0
Granada	52195.0	29872.0	22323.0	51007.0	29065.0	21942.0	1188.0	807.0	381.0
Huelva	11491.0	6440.0	5051.0	11491.0	6440.0	5051.0	.	.	.
Illes Balears	12903.0	7576.0	5327.0	11899.0	6886.0	5013.0	1004.0	690.0	314.0
Ja�n	15157.0	8120.0	7037.0	14588.0	7742.0	6846.0	569.0	378.0	191.0
Jaume I de Castell�n	12388.0	6958.0	5430.0	12388.0	6958.0	5430.0	.	.	.
La Laguna	20729.0	11896.0	8833.0	20295.0	11593.0	8702.0	434.0	303.0	131.0
La Rioja	4497.0	2420.0	2077.0	4209.0	2165.0	2044.0	288.0	255.0	33.0
Las Palmas de Gran Canaria	21380.0	12242.0	9138.0	21020.0	11987.0	9033.0	360.0	255.0	105.0
Le�n	13582.0	6597.0	6985.0	13462.0	6497.0	6965.0	120.0	100.0	20.0
Lleida	8248.0	4693.0	3555.0	7535.0	4502.0	3033.0	713.0	191.0	522.0
M�laga	35867.0	19073.0	16794.0	35468.0	18783.0	16685.0	399.0	290.0	109.0
Miguel Hern�ndez de Elche	12598.0	5756.0	6842.0	12108.0	5513.0	6595.0	490.0	243.0	247.0
Murcia	29044.0	17865.0	11179.0	27781.0	16963.0	10818.0	1263.0	902.0	361.0
Oviedo	21791.0	11748.0	10043.0	20868.0	11054.0	9814.0	923.0	694.0	229.0
Pablo de Olavide	10899.0	6217.0	4682.0	10899.0	6217.0	4682.0	.	.	.
Pa�s Vasco/Euskal Herriko Unibertsitatea	40923.0	21459.0	19464.0	40220.0	21037.0	19183.0	703.0	422.0	281.0
Polit�cnica de Cartagena	5991.0	1639.0	4352.0	5650.0	1577.0	4073.0	341.0	62.0	279.0
Polit�cnica de Catalunya	26919.0	7095.0	19824.0	22215.0	5943.0	16272.0	4704.0	1152.0	3552.0
Polit�cnica de Madrid	33783.0	10510.0	23273.0	33783.0	10510.0	23273.0	.	.	.
Polit�cnica de Val�ncia	28896.0	10410.0	18486.0	28641.0	10389.0	18252.0	255.0	21.0	234.0
Pompeu Fabra	12522.0	7447.0	5075.0	9565.0	5727.0	3838.0	2957.0	1720.0	1237.0
P�blica de Navarra	7089.0	3489.0	3600.0	7089.0	3489.0	3600.0	.	.	.
Rey Juan Carlos	33741.0	19239.0	14502.0	31761.0	18361.0	13400.0	1980.0	878.0	1102.0
Rovira i Virgili	11880.0	6968.0	4912.0	11661.0	6922.0	4739.0	219.0	46.0	173.0
Salamanca	24712.0	14546.0	10166.0	24033.0	14064.0	9969.0	679.0	482.0	197.0
Santiago de Compostela	22460.0	14255.0	8205.0	21515.0	13533.0	7982.0	945.0	722.0	223.0
Sevilla	59840.0	31458.0	28382.0	56846.0	29361.0	27485.0	2994.0	2097.0	897.0
Val�ncia (Estudi General)	43159.0	26160.0	16999.0	41334.0	24872.0	16462.0	1825.0	1288.0	537.0
Valladolid	24630.0	13856.0	10774.0	23507.0	13033.0	10474.0	1123.0	823.0	300.0
Vigo	18431.0	9290.0	9141.0	16805.0	8229.0	8576.0	1626.0	1061.0	565.0
Zaragoza	30210.0	16067.0	14143.0	27539.0	15246.0	12293.0	2671.0	821.0	1850.0
Universidades P�blicas No Presenciales	151545.0	84334.0	67211.0	151545.0	84334.0	67211.0	.	.	.
Nacional de Educaci�n a Distancia	151545.0	84334.0	67211.0	151545.0	84334.0	67211.0	.	.	.
									
Fuente:S.G. de Coordinaci�n y Seguimiento Universitario. Ministerio de Educaci�n, Cultura y Deporte.									
									
Copyright EUCACI�N 2015									
